neighborhoods/br-itaperuna/city-centre,"only 3/4 POIs generatable (anchor, outdoors, shopping-dining uploaded); 4th slot exhausted: culture-architecture candidates unusable (Teatro Municipal is an office, station/bridge in wrong district, Igreja do Rosario photos interior/crowded) and substitute outdoors options failed (Praca Getulio Vargas / Concha Acustica only watermarked aerial night drone shots; 3 text-only attempts each hallucinated a fictional landmark; riverfront photos rural/gloomy)"
neighborhoods/cd-bakwa/city-centre,"zero Places coverage at coords (4.1263,27.39527): all probes resolve to wrong places entirely (Bakwa-Bowa and Marche Bakwandianga in Mbuji-Mayi ~1000km away, Le Bakwa in Guadeloupe, Heritage Bakwa in Brunei, Dungu Castle >100km away); cannot name any real walkable POI with confidence; 0 images generated"
neighborhoods/cf-carnot/city-centre,"Places coverage unusable: town entry has only 3 photos (gloomy rooftop aerial, market snapshot with prominent person + readable signage + litter, personal portrait); all other queries (cathedrale, marche, mosquee, riviere Mambere) resolve to Bangui ~370km away or return the same 3 photos; cannot verify 4 real walkable POIs and text-only would fabricate appearance; 0 images generated"
neighborhoods/cn-ankang/city-center,"only 2/4 POIs generatable (anchor Hanjiang Bridge, outdoors Xiangxi Cave uploaded); Places coverage exhausted: museum/tower/temple/mall/market/station queries all resolve to other cities (Xi an, Beijing, Datong, Seoul, Taipei, Durban, Kunming) or hotels; only other real candidates (Jinzhou Square, Ankang University) have exclusively overcast/stormy photos with readable banners; note shard coords (30.657,104.057) point to Chengdu, correct Ankang coords (32.68,109.03) used"
neighborhoods/cn-changji/city-centre,"only 3/4 POIs generatable (anchor Xinjiang Grand Theater, outdoors Changji Central Park, shopping-dining Changji Hui Snack Street uploaded); 4th slot exhausted: museum/dinosaur-museum/mosque/old-town/granary queries return no candidates or wrong cities (Urumqi, Zhaosu); People's Park has only night photos; other park queries empty; Xinjiang Agricultural Expo Park has one usable photo but is ~4.5km outside downtown along a highway, not walkable"
neighborhoods/cn-chongfu/city-centre,"Places coverage unusable at (30.531,120.431): only local match is China Chongfu Intl Furs Center whose 4 photos are all rejected (dense readable signage covering facade, parked cars, overcast, one selfie holding a mug); all other queries (Chongfu Temple, Grand Canal, Heng Street historic district, parks, Lu Liuliang sites) return no candidates or resolve to Nagasaki/Nara/Shanghai/Hangzhou/Jiaxing; cannot verify 4 real walkable POIs; 0 images generated"
neighborhoods/cn-dengzhou/central,"3/4 uploaded (anchor Huazhou Academy, outdoors Baihuazhou Garden, culture-architecture Fusheng Temple Pagoda text-only); note: shard lat/lng (32.30,118.32) point to Anhui, correct Dengzhou Henan coords 32.687/112.087 used; 4th slot exhausted: no shopping-dining POI in Places (all mall/street/market queries empty or wrong city), Gucheng Square photos all gloomy with prominent people and its text-only generation fabricated a nonexistent fortress gate, rejected"
neighborhoods/cn-fengcheng-19/city-centre,"Places coverage unusable at (40.454,124.072): only matches are Fenghuang Mountain scenic area (~5km outside town, not walkable; photos hazy with crowds and dense readable signage) and Phoenix railway station (photos: platform shot with watermark/crowds/signage, and a gloomy shot taken from a train); people-square/park/riverside/culture-square/museum/temple/commercial-street queries all empty or resolve to Beijing; cannot verify 4 real walkable POIs; 0 images generated"
neighborhoods/cn-guangshui/city-centre,"only 1/4 POIs generatable (anchor Yintaishan Culture and Ecology Park uploaded); Places coverage at (31.620,113.998) otherwise unusable: peoples-park/station/wenmiao/culture-square/pedestrian-street/old-street/sports-park/museum/mall queries return empty or resolve to Beijing/Jingzhou/Honghu/Weishan/Jinggangshan; Zhongshan Boulevard photos are a mis-geotagged metropolis square and a night shot; Fuhe River photo overcast from a highway; no 2nd-4th verifiable walkable POI"
neighborhoods/cn-hangu/city-centre,"only 1/4 POIs generatable (outdoors Hexi Park uploaded); Places coverage at (39.249,117.789) otherwise unusable: park/culture-square/library/pedestrian-street/gold-street/mall/sports/riverside/salt-field/mosque queries return empty or mis-geotag to downtown Tianjin (~50km), Jizhou, seaside theme park (~20km), or Taipei; aircraft-carrier park and Dongjiang Bay too distant; no verifiable anchor/shopping-dining/culture POI"
