"parent_id","neighborhood","city","destination","poi_name","poi_slug","category","s3_key","ref_photo_reference","ref_attribution","generated_at"
"neighborhoods/ae-jebel-ali/city-centre","City Centre","Jebel Ali","City Centre, Jebel Ali, United Arab Emirates","Hindu Temple, Dubai","hindu-temple-dubai","culture-architecture","images/Neighborhood_POIs/ae-jebel-ali/city-centre/hindu-temple-dubai.png","places-photo","Santosh Kushwaha (Google Maps contributor)","2026-07-17T21:29:58.227807+00:00"
"neighborhoods/ae-jebel-ali/city-centre","City Centre","Jebel Ali","City Centre, Jebel Ali, United Arab Emirates","Guru Nanak Darbar Gurudwara","guru-nanak-darbar-gurudwara","anchor","images/Neighborhood_POIs/ae-jebel-ali/city-centre/guru-nanak-darbar-gurudwara.png","places-photo","Suprada Sudhir (Google Maps contributor)","2026-07-17T21:40:56.001683+00:00"
"neighborhoods/ae-jebel-ali/city-centre","City Centre","Jebel Ali","City Centre, Jebel Ali, United Arab Emirates","Central Park","central-park","outdoors","images/Neighborhood_POIs/ae-jebel-ali/city-centre/central-park.png","places-photo","Kaif Kamran (Google Maps contributor)","2026-07-17T21:51:41.557407+00:00"
"neighborhoods/ae-jebel-ali/city-centre","City Centre","Jebel Ali","City Centre, Jebel Ali, United Arab Emirates","Festival Plaza","festival-plaza","shopping-dining","images/Neighborhood_POIs/ae-jebel-ali/city-centre/festival-plaza.png","text-only","","2026-07-17T21:58:04.867261+00:00"
"neighborhoods/am-yerevan/northern-avenue","Northern Avenue","Yerevan","Northern Avenue, Yerevan, Armenia","Northern Avenue","northern-avenue","anchor","images/Neighborhood_POIs/am-yerevan/northern-avenue/northern-avenue.png","places-photo","A G (Google Maps contributor)","2026-07-17T22:01:09.940691+00:00"
"neighborhoods/am-yerevan/northern-avenue","Northern Avenue","Yerevan","Northern Avenue, Yerevan, Armenia","Swan Lake","swan-lake","outdoors","images/Neighborhood_POIs/am-yerevan/northern-avenue/swan-lake.png","places-photo","Neslin Nicholas (Google Maps contributor)","2026-07-17T22:03:04.336451+00:00"
"neighborhoods/am-yerevan/northern-avenue","Northern Avenue","Yerevan","Northern Avenue, Yerevan, Armenia","Abovyan Street","abovyan-street","shopping-dining","images/Neighborhood_POIs/am-yerevan/northern-avenue/abovyan-street.png","places-photo","Arm Sa (Google Maps contributor)","2026-07-17T22:07:01.867372+00:00"
"neighborhoods/am-yerevan/northern-avenue","Northern Avenue","Yerevan","Northern Avenue, Yerevan, Armenia","Armenian National Opera and Ballet Theatre","armenian-national-opera-and-ballet-theatre","culture-architecture","images/Neighborhood_POIs/am-yerevan/northern-avenue/armenian-national-opera-and-ballet-theatre.png","places-photo","A G (Google Maps contributor)","2026-07-17T22:09:42.455764+00:00"
"neighborhoods/ar-cordoba/centro","Centro","Córdoba","Centro, Córdoba, Argentina","Plaza San Martín","plaza-san-martin","anchor","images/Neighborhood_POIs/ar-cordoba/centro/plaza-san-martin.png","places-photo","Mirian Cristina Pato (Google Maps contributor)","2026-07-17T22:12:57.304089+00:00"
"neighborhoods/ar-cordoba/centro","Centro","Córdoba","Centro, Córdoba, Argentina","Paseo Sobremonte","paseo-sobremonte","outdoors","images/Neighborhood_POIs/ar-cordoba/centro/paseo-sobremonte.png","places-photo","Lucas Croce (Google Maps contributor)","2026-07-17T22:16:07.445707+00:00"
